genome_id	genome_id_safe	assembly_name	genome_id_status	organism_type	haplotype	assembly_version	is_public	embargo_until	prov_bioproject_parent	prov_bioproject	prov_biosample	prov_insdc_note	prov_genome_doi	prov_publication_doi	prov_data_usage_policy	prov_annotation_pipeline	prov_annotation_pipeline_version	prov_ref_db	prov_ref_db_version	prov_annotation_transferred_from	spec_specimen_id	spec_collector	spec_collection_date	spec_site_name	spec_lat	spec_lon	spec_symbiont_status	tax_ncbi_taxid	tax_class	tax_order	tax_family	tax_genus	tax_species	tax_ott_id
GCA_043882275.1	GCA_043882275_1	ASM4388227v1	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA1149836	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	Daniel Barshis, Nicolas Evensen	2/24/2022	American Samoa: Tutuila	-14.342	-170.789	NA	1054303	Anthozoa	Scleractinia	Acroporidae	Montipora	Montipora grisea	3674940
GCA_044231415.1	GCA_044231415_1	Apul_v1.1	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA1162071	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	NA	10/23/2022	French Polynesia: Moorea	NA	NA	NA	140239	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora pulchra	536038
GCA_044509875.1	GCA_044509875_1	ASM4450987v1	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA1149836	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	Daniel Barshis, Nicolas Evensen	3/2/2022	American Samoa: Tutuila	-14.342	-170.789	NA	1387075	Anthozoa	Scleractinia	Agariciidae	Leptoseris	Leptoseris scabra	3675297
GCA_046129775.1	GCA_046129775_1	Madrepora sp._1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA1034248	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: db [Scleractinia v2]	v2	NA	NA	NA	2020-12/2022-06	missing	NA	NA	NA	3117734	Anthozoa	Scleractinia	Oculinidae	Madrepora	Madrepora sp. SY280-shi	NA
GCA_964273435.1	GCA_964273435_1	jaAcrAuse1.1	accession	coral_host	hap1	v2	TRUE	NA	PRJEB40665	PRJEB80757	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NOT PROVIDED	Michael Sweet	10/18/2023	United Kingdom	NA	NA	NA	117779	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora austera	455482
GCA_048544155.1	GCA_048544155_1	ASM4854415v1	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA1228282	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	NA	2024-06/2024-07	China:Shandong	37.52	121.44	NA	114500	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora intermedia	264800
GCA_052402645.1	GCA_052402645_1	ASM5240264v1	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA1289421	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	NA	2024-04	China: West Island, located in Sanya, Hainan Province	NA	NA	NA	371664	Anthozoa	Scleractinia	Fungiidae	Podabacia	Podabacia crustacea	1031351
GCA_964274385.1	GCA_964274385_1	jaAcrGlau1.hap1.1	accession	coral_host	hap1	v2	TRUE	NA	PRJEB40665	PRJEB80854	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	Andrew Baird	7/9/2021	Australia	NA	NA	NA	1869258	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora glauca	3675098
GCA_054491535.1	GCA_054491535_1	ASM5449153v1	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA1321156	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: db [Scleractinia v2]	v2	NA	NA	NA	5/27/2019	Pacific Ocean	NA	NA	NA	3462288	Anthozoa	Scleractinia	Flabellidae	Polymyces	Polymyces sp. M5039	NA
GCA_942486025.1	GCA_942486025_1	PEVE_v1	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJEB51620	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	sample_BWT_104178	NA	NA	NA	NA	NA	NA	104178	Anthozoa	Scleractinia	Poritidae	Porites	Porites evermanni	101813
